City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Rikitea,PF,2022-03-28 18:49:53,-23.1203,-134.9692,77.86,72,17,6.93
1,Barrow,US,2022-03-28 18:50:28,71.2906,-156.7887,-2.18,71,0,19.57
2,Iacu,BR,2022-03-28 18:54:26,-12.7672,-40.2117,86.76,48,100,11.65
3,Guinticgan,PH,2022-03-28 18:54:26,11.5641,123.1236,81.05,81,100,15.97
4,Punta Arenas,CL,2022-03-28 18:52:24,-53.15,-70.9167,48.22,81,100,6.91
5,Tuatapere,NZ,2022-03-28 18:52:11,-46.1333,167.6833,56.07,94,97,1.99
6,Nicoya,CR,2022-03-28 18:54:26,10.1483,-85.452,97.18,27,98,9.17
7,Hilo,US,2022-03-28 18:54:27,19.7297,-155.09,76.62,76,62,5.99
8,Kirakira,SB,2022-03-28 18:54:27,-10.4544,161.9205,79.77,86,99,4.83
9,Berdigestyakh,RU,2022-03-28 18:54:28,62.0989,126.6992,14.79,96,100,6.33
10,Fairbanks,US,2022-03-28 18:50:02,64.8378,-147.7164,31.98,51,20,8.05
11,Cabo San Lucas,MX,2022-03-28 18:54:28,22.8909,-109.9124,87.1,54,1,1.99
12,Tilichiki,RU,2022-03-28 18:54:29,60.4667,166.1,20.89,85,95,33.67
13,Bluff,NZ,2022-03-28 18:54:29,-46.6,168.3333,59.5,81,100,4.29
14,Hobart,AU,2022-03-28 18:54:29,-42.8794,147.3294,57.25,81,100,4.61
15,Lebu,CL,2022-03-28 18:54:30,-37.6167,-73.65,61.52,68,44,8.16
16,Carnarvon,AU,2022-03-28 18:54:30,-24.8667,113.6333,73.47,88,75,21.85
17,Cockburn Town,TC,2022-03-28 18:50:49,21.4612,-71.1419,76.66,65,0,15.3
18,Vila Franca Do Campo,PT,2022-03-28 18:50:31,37.7167,-25.4333,63.01,77,0,8.86
19,Loreto,MX,2022-03-28 18:54:31,22.2667,-101.9667,77.41,14,16,9.64
20,Asilah,MA,2022-03-28 18:54:31,35.465,-6.0348,62.56,87,99,9.84
21,Harrismith,ZA,2022-03-28 18:54:32,-28.2728,29.1295,56.5,63,0,2.13
22,Drochtersen,DE,2022-03-28 18:54:32,53.7102,9.3846,45.43,95,95,8.16
23,Cururupu,BR,2022-03-28 18:54:32,-1.8283,-44.8683,77.58,94,100,3.27
24,Touros,BR,2022-03-28 18:52:03,-5.1989,-35.4608,83.84,69,100,13.04
25,Salalah,OM,2022-03-28 18:54:33,17.0151,54.0924,82.94,31,0,9.82
26,Mount Gambier,AU,2022-03-28 18:54:33,-37.8333,140.7667,49.91,100,100,0.0
27,Nikolskoye,RU,2022-03-28 18:50:18,59.7035,30.7861,28.71,90,55,9.44
28,Jamestown,US,2022-03-28 18:54:15,42.097,-79.2353,21.52,60,100,25.32
29,Jasper,US,2022-03-28 18:54:34,37.2001,-94.3502,68.88,32,19,10.0
30,Tasiilaq,GL,2022-03-28 18:54:34,65.6145,-37.6368,22.71,84,100,4.09
31,Hamilton,US,2022-03-28 18:51:03,39.1834,-84.5333,43.75,42,0,10.36
32,Luderitz,NA,2022-03-28 18:53:14,-26.6481,15.1594,61.63,86,2,2.68
33,Ushuaia,AR,2022-03-28 18:54:35,-54.8,-68.3,47.86,61,40,14.97
34,Mehamn,NO,2022-03-28 18:54:35,71.0357,27.8492,28.04,63,100,21.34
35,Phalaborwa,ZA,2022-03-28 18:54:35,-23.943,31.1411,74.48,64,3,6.2
36,Yellowknife,CA,2022-03-28 18:53:33,62.456,-114.3525,18.41,75,75,3.44
37,Snasa,NO,2022-03-28 18:54:36,64.2457,12.3778,33.21,81,100,4.32
38,Butaritari,KI,2022-03-28 18:54:36,3.0707,172.7902,80.87,71,48,12.71
39,Maniitsoq,GL,2022-03-28 18:54:37,65.4167,-52.9,31.48,78,2,4.52
40,Pisco,PE,2022-03-28 18:54:37,-13.7,-76.2167,77.05,61,0,16.11
41,Palmer,US,2022-03-28 18:53:28,42.1584,-72.3287,29.57,33,75,21.85
42,Avarua,CK,2022-03-28 18:50:14,-21.2078,-159.775,80.65,89,40,6.91
43,Guerrero Negro,MX,2022-03-28 18:54:38,27.9769,-114.0611,69.24,47,100,9.06
44,Port Moresby,PG,2022-03-28 18:55:38,-9.4431,147.1797,72.82,100,40,11.5
45,Atuona,PF,2022-03-28 18:55:27,-9.8,-139.0333,79.02,77,100,16.58
46,Vila Velha,BR,2022-03-28 18:55:39,-20.3297,-40.2925,85.95,76,0,16.11
47,Husavik,IS,2022-03-28 18:55:39,66.0449,-17.3389,28.49,66,73,6.91
48,Manado,ID,2022-03-28 18:55:39,1.487,124.8455,77.77,94,40,2.3
49,Sipoo,FI,2022-03-28 18:55:40,60.3775,25.2691,31.08,69,75,12.66
50,Chokurdakh,RU,2022-03-28 18:51:14,70.6333,147.9167,-15.09,100,78,5.61
51,Albany,US,2022-03-28 18:55:40,42.6001,-73.9662,25.54,42,100,4.0
52,Mataura,NZ,2022-03-28 18:55:40,-46.1927,168.8643,55.54,97,100,0.89
53,Saint-Pierre,RE,2022-03-28 18:55:41,-21.3393,55.4781,78.48,83,100,4.61
54,Enshi,CN,2022-03-28 18:55:41,30.3,109.4833,54.18,80,100,0.81
55,Vaini,TO,2022-03-28 18:55:41,-21.2,-175.2,77.16,94,75,10.36
56,San Patricio,US,2022-03-28 18:55:42,28.017,-97.5169,85.15,46,3,20.09
57,Teguldet,RU,2022-03-28 18:55:42,57.3064,88.1667,11.26,96,13,4.12
58,College,US,2022-03-28 18:55:43,64.8569,-147.8028,31.98,50,20,6.91
59,Nemuro,JP,2022-03-28 18:55:43,43.3236,145.575,31.66,82,10,10.04
60,Ilebo,CD,2022-03-28 18:55:43,-4.3167,20.5833,73.17,93,100,2.42
61,Saint Anthony,US,2022-03-28 18:55:44,45.0205,-93.218,38.66,28,100,4.0
62,Fort Nelson,CA,2022-03-28 18:51:24,58.8053,-122.7002,24.39,63,75,2.3
63,Busselton,AU,2022-03-28 18:55:44,-33.65,115.3333,63.09,78,100,14.85
64,Qaanaaq,GL,2022-03-28 18:55:45,77.484,-69.3632,8.85,92,100,1.14
65,New Norfolk,AU,2022-03-28 18:55:45,-42.7826,147.0587,56.91,73,97,1.32
66,Sabang,ID,2022-03-28 18:55:45,5.8933,95.3214,82.76,73,9,3.98
67,Rocha,UY,2022-03-28 18:52:04,-34.4833,-54.3333,81.99,32,0,6.87
68,Lazaro Cardenas,MX,2022-03-28 18:51:44,17.9583,-102.2,84.07,40,6,10.09
69,Acajutla,SV,2022-03-28 18:55:46,13.5928,-89.8275,86.72,53,53,11.21
70,Sisimiut,GL,2022-03-28 18:55:46,66.9395,-53.6735,31.01,81,6,3.04
71,Hermanus,ZA,2022-03-28 18:54:13,-34.4187,19.2345,63.81,69,97,12.03
72,Pitimbu,BR,2022-03-28 18:55:47,-7.4706,-34.8086,86.59,71,15,11.5
73,Sete,FR,2022-03-28 18:55:47,43.4018,3.6966,57.24,67,100,7.92
74,Shimoda,JP,2022-03-28 18:55:47,34.6667,138.95,51.1,84,100,13.53
75,Dolzhanskaya,RU,2022-03-28 18:55:48,46.6311,37.8039,41.92,71,6,29.66
76,Mzimba,MW,2022-03-28 18:55:48,-11.9,33.6,63.82,95,100,7.27
77,Ribeira Grande,PT,2022-03-28 18:55:49,38.5167,-28.7,63.0,77,20,10.36
78,Cape Town,ZA,2022-03-28 18:55:49,-33.9258,18.4232,67.26,64,20,13.8
79,Iquitos,PE,2022-03-28 18:55:49,-3.7481,-73.2472,82.44,78,75,3.44
80,Khandyga,RU,2022-03-28 18:55:50,62.6667,135.6,-7.02,97,93,3.0
81,Kodiak,US,2022-03-28 18:55:50,57.79,-152.4072,36.91,100,100,10.36
82,Namibe,AO,2022-03-28 18:55:50,-15.1961,12.1522,72.41,70,12,11.25
83,Floro,NO,2022-03-28 18:55:51,61.5996,5.0328,39.16,60,40,11.5
84,Provideniya,RU,2022-03-28 18:55:51,64.3833,-173.3,7.38,83,11,5.53
85,Castro,BR,2022-03-28 18:55:52,-24.7911,-50.0119,78.12,56,19,2.17
86,Kapaa,US,2022-03-28 18:55:52,22.0752,-159.319,76.98,77,100,1.01
87,Camacha,PT,2022-03-28 18:54:56,33.0833,-16.3333,62.02,77,40,6.91
88,Kahului,US,2022-03-28 18:55:52,20.8947,-156.47,78.84,66,58,5.01
89,Mount Isa,AU,2022-03-28 18:51:56,-20.7333,139.5,69.57,32,0,8.05
90,Margate,GB,2022-03-28 18:50:57,51.3813,1.3862,50.31,88,100,1.99
91,Pevek,RU,2022-03-28 18:56:53,69.7008,170.3133,-21.96,94,26,3.22
92,Rovaniemi,FI,2022-03-28 18:56:53,66.5,25.7167,18.81,62,0,6.91
93,Viedma,AR,2022-03-28 18:56:54,-40.8135,-62.9967,81.34,21,7,19.53
94,Sombrio,BR,2022-03-28 18:56:54,-29.1139,-49.6167,80.94,61,0,7.4
95,Aklavik,CA,2022-03-28 18:52:00,68.2191,-135.0107,-8.54,96,100,1.9
96,Santa Vitoria Do Palmar,BR,2022-03-28 18:56:55,-33.5189,-53.3681,76.26,45,0,6.85
97,Lavezares,PH,2022-03-28 18:56:55,12.5336,124.3305,78.04,88,74,9.57
98,Ancud,CL,2022-03-28 18:55:53,-41.8697,-73.8203,53.22,76,68,16.46
99,Port Alfred,ZA,2022-03-28 18:54:13,-33.5906,26.891,84.18,46,87,1.01
100,Sioux Lookout,CA,2022-03-28 18:52:20,50.1001,-91.917,19.47,27,20,2.3
101,Saskylakh,RU,2022-03-28 18:56:56,71.9167,114.0833,0.36,95,100,11.77
102,Ibra,OM,2022-03-28 18:56:56,22.6906,58.5334,77.47,32,0,3.91
103,Port Elizabeth,ZA,2022-03-28 18:56:57,-33.918,25.5701,74.1,63,0,18.41
104,Kenai,US,2022-03-28 18:56:57,60.5544,-151.2583,37.02,84,100,20.04
105,Salekhard,RU,2022-03-28 18:56:57,66.53,66.6019,27.5,96,100,11.3
106,Sao Gabriel Da Cachoeira,BR,2022-03-28 18:56:58,-0.1303,-67.0892,73.9,99,100,2.04
107,Khasan,RU,2022-03-28 18:56:58,42.4308,130.6434,35.74,82,99,2.24
108,Bilibino,RU,2022-03-28 18:56:06,68.0546,166.4372,-23.39,97,11,4.94
109,Akdepe,TM,2022-03-28 18:56:59,42.0551,59.3788,41.09,51,74,18.54
110,Norman Wells,CA,2022-03-28 18:56:59,65.282,-126.8329,5.04,72,75,0.0
111,Katsuura,JP,2022-03-28 18:56:59,35.1333,140.3,52.86,65,100,13.49
112,Beringovskiy,RU,2022-03-28 18:57:00,63.05,179.3167,-7.15,96,100,4.54
113,Zeya,RU,2022-03-28 18:57:00,53.75,127.2667,15.26,97,100,2.89
114,Karratha,AU,2022-03-28 18:52:07,-20.7377,116.8463,81.72,71,56,5.93
115,Port Lincoln,AU,2022-03-28 18:57:01,-34.7333,135.8667,61.72,88,21,4.76
116,Venice,US,2022-03-28 18:56:34,27.0998,-82.4543,82.98,68,12,5.99
117,Kaitangata,NZ,2022-03-28 18:57:01,-46.2817,169.8464,55.2,96,100,0.81
118,Xiongzhou,CN,2022-03-28 18:57:02,25.1167,114.3,57.11,88,97,1.9
119,Washington,US,2022-03-28 18:52:41,47.5001,-120.5015,61.18,39,100,4.41
120,Sarh,TD,2022-03-28 18:57:02,9.1429,18.3923,89.51,20,0,0.0
121,Koumac,NC,2022-03-28 18:57:03,-20.5667,164.2833,77.5,84,100,4.54
122,East London,ZA,2022-03-28 18:57:03,-33.0153,27.9116,83.34,65,0,5.75
123,Saint-Philippe,RE,2022-03-28 18:57:04,-21.3585,55.7679,78.39,79,48,3.44
124,Puerto Ayora,EC,2022-03-28 18:57:04,-0.7393,-90.3518,85.96,72,100,12.41
125,Port Augusta,AU,2022-03-28 18:52:11,-32.5,137.7667,65.52,72,0,8.95
126,Rabaul,PG,2022-03-28 18:57:05,-4.1967,152.1721,80.33,78,100,9.51
127,Port Hedland,AU,2022-03-28 18:57:05,-20.3167,118.5667,80.65,83,100,6.91
128,Shaowu,CN,2022-03-28 18:57:05,27.3409,117.4831,54.37,94,88,2.95
129,Nishiwaki,JP,2022-03-28 18:57:06,34.9833,134.9667,45.79,71,100,5.82
130,Bethel,US,2022-03-28 18:57:06,41.3712,-73.414,30.49,46,100,16.11
131,Pindorama,BR,2022-03-28 18:57:07,-21.1858,-48.9072,83.59,60,82,4.32
132,Skjervoy,NO,2022-03-28 18:57:07,70.0311,20.9714,24.8,58,100,2.13
133,Ponta Do Sol,PT,2022-03-28 18:57:07,32.6667,-17.1,66.06,78,59,5.53
134,Lebanon,US,2022-03-28 18:56:27,36.2081,-86.2911,55.17,35,0,0.0
135,Airai,TL,2022-03-28 18:57:08,-8.9266,125.4092,59.43,94,72,0.72
136,Hasaki,JP,2022-03-28 18:57:08,35.7333,140.8333,48.6,54,100,13.35
137,Santa Maria,BR,2022-03-28 18:57:09,-29.6842,-53.8069,81.7,47,0,8.05
138,Mont-De-Marsan,FR,2022-03-28 18:58:08,44.0,-0.6667,63.88,69,0,3.44
139,Ahipara,NZ,2022-03-28 18:58:09,-35.1667,173.1667,61.75,87,4,6.58
140,Tiarei,PF,2022-03-28 18:58:09,-17.5333,-149.3333,84.22,76,100,16.6
141,Nanortalik,GL,2022-03-28 18:58:10,60.1432,-45.2371,34.11,78,53,3.85
142,Faya,SA,2022-03-28 18:58:10,18.3851,42.4509,64.51,43,3,4.23
143,Nurota,UZ,2022-03-28 18:58:10,40.5614,65.6886,50.83,49,0,7.96
144,Upernavik,GL,2022-03-28 18:58:11,72.7868,-56.1549,25.02,71,100,5.57
145,Tatawin,TN,2022-03-28 18:58:11,32.9297,10.4518,61.27,59,4,9.84
146,Mount Pleasant,US,2022-03-28 18:58:12,32.7941,-79.8626,72.3,33,0,16.11
147,Juruti,BR,2022-03-28 18:53:14,-2.1522,-56.0922,78.17,90,100,4.63
148,The Valley,AI,2022-03-28 18:58:12,18.217,-63.0578,84.06,65,20,13.8
149,Mezen,RU,2022-03-28 18:58:13,65.8522,44.24,5.36,96,76,4.99
150,Muisne,EC,2022-03-28 18:58:13,0.6,-80.0333,81.79,73,68,8.43
151,Saint George,US,2022-03-28 18:56:11,37.1041,-113.5841,73.26,26,100,14.0
152,Victoria,HK,2022-03-28 18:55:21,22.2855,114.1577,65.25,86,99,8.99
153,Saint-Francois,FR,2022-03-28 18:58:14,46.4154,3.9054,58.44,44,0,9.22
154,Aswan,EG,2022-03-28 18:57:48,24.0934,32.907,78.1,10,0,6.91
155,Tuktoyaktuk,CA,2022-03-28 18:58:14,69.4541,-133.0374,-14.8,76,0,10.36
156,Sao Filipe,CV,2022-03-28 18:58:15,14.8961,-24.4956,71.28,77,100,12.86
157,Omsukchan,RU,2022-03-28 18:57:11,62.5333,155.8,1.09,97,100,8.16
158,Naze,JP,2022-03-28 18:58:15,28.3667,129.4833,63.52,85,100,17.58
159,Zolotkovo,RU,2022-03-28 18:58:16,55.5281,41.1053,33.44,98,100,12.08
160,Valley City,US,2022-03-28 18:58:16,46.9233,-98.0032,37.92,44,0,24.16
161,Sawtell,AU,2022-03-28 18:58:16,-30.3833,153.1,70.18,94,100,4.61
162,Leningradskiy,RU,2022-03-28 18:58:17,69.3833,178.4167,-18.36,98,39,3.78
163,Dingle,PH,2022-03-28 18:58:17,10.9995,122.6711,77.04,89,100,7.83
164,Torbay,CA,2022-03-28 18:58:18,47.6666,-52.7314,50.88,70,75,4.0
165,Lodja,CD,2022-03-28 18:58:18,-3.4833,23.4333,72.03,94,100,0.67
166,Pouembout,NC,2022-03-28 18:58:19,-21.1333,164.9,75.49,88,100,5.14
167,Mar Del Plata,AR,2022-03-28 18:53:34,-38.0023,-57.5575,80.62,85,20,17.0
168,Pemba,MZ,2022-03-28 18:58:19,-12.974,40.5178,80.24,77,19,10.94
169,Hithadhoo,MV,2022-03-28 18:58:19,-0.6,73.0833,81.7,64,60,5.12
170,Lorengau,PG,2022-03-28 18:58:20,-2.0226,147.2712,80.58,82,100,8.99
171,Dikson,RU,2022-03-28 18:58:20,73.5069,80.5464,-15.21,100,90,3.96
172,Saint Paul,US,2022-03-28 18:56:47,44.9444,-93.0933,39.29,28,0,10.0
173,Cherskiy,RU,2022-03-28 18:58:21,68.75,161.3,-19.8,100,60,3.18
174,Singaparna,ID,2022-03-28 18:58:21,-7.3515,108.111,71.58,96,100,2.55
175,Longyearbyen,SJ,2022-03-28 18:58:21,78.2186,15.6401,10.24,67,20,11.5
176,Coquimbo,CL,2022-03-28 18:58:22,-29.9533,-71.3436,67.15,69,0,8.84
177,North Bend,US,2022-03-28 18:58:22,43.4065,-124.2243,61.25,92,100,7.85
178,Qasigiannguit,GL,2022-03-28 18:58:23,68.8193,-51.1922,35.87,77,9,6.87
179,Clinton,US,2022-03-28 18:58:25,42.587,-82.9199,29.26,51,60,8.01
180,Gazojak,TM,2022-03-28 18:58:26,41.1875,61.4036,42.8,78,12,27.54
181,Artyom,AZ,2022-03-28 18:58:26,40.4723,50.333,35.74,48,83,9.75
182,Ilulissat,GL,2022-03-28 18:55:55,69.2167,-51.1,34.92,74,10,7.25
183,Blumberg,DE,2022-03-28 18:59:27,47.8406,8.5333,54.1,53,13,2.93
184,Lyuban,BY,2022-03-28 18:57:14,52.7985,28.0048,52.12,53,88,19.48
185,Moree,AU,2022-03-28 18:59:27,-29.4667,149.85,66.22,88,100,5.75
186,Galesong,ID,2022-03-28 18:59:27,-5.3166,119.3661,73.42,72,100,2.17
187,Bredasdorp,ZA,2022-03-28 18:59:28,-34.5322,20.0403,69.24,57,100,4.07
188,Pokhara,NP,2022-03-28 18:59:28,28.2333,83.9833,66.56,24,0,6.62
189,Baruun-Urt,MN,2022-03-28 18:59:29,46.6806,113.2792,24.19,52,98,15.61
190,Eregli,TR,2022-03-28 18:59:29,37.5133,34.0467,44.67,50,5,6.42
191,Kimbe,PG,2022-03-28 18:59:29,-5.5502,150.1429,75.29,95,100,1.48
192,Huntington,US,2022-03-28 18:59:05,38.4193,-82.4452,44.35,34,17,8.99
193,Coruripe,BR,2022-03-28 18:59:30,-10.1256,-36.1756,82.74,65,90,10.96
194,Talaya,RU,2022-03-28 18:59:30,61.3833,152.75,1.47,97,100,6.29
195,Tynda,RU,2022-03-28 18:59:31,55.1667,124.7167,15.49,74,100,15.39
196,Marawi,PH,2022-03-28 18:59:31,7.9986,124.2928,67.77,92,95,2.26
197,Rosario,AR,2022-03-28 18:59:31,-32.9468,-60.6393,87.08,38,0,13.8
198,Diez,DE,2022-03-28 18:59:32,50.3667,8.0167,60.93,71,100,3.67
199,Lufilufi,WS,2022-03-28 18:59:32,-13.8745,-171.5986,74.98,78,100,9.22
200,Nakamura,JP,2022-03-28 18:59:33,32.9833,132.9333,54.1,79,100,2.64
201,Poum,NC,2022-03-28 18:59:33,-20.2333,164.0167,80.67,80,100,19.39
202,Guaratinga,BR,2022-03-28 18:59:33,-16.5667,-39.5667,85.89,51,61,11.14
203,Dunedin,NZ,2022-03-28 18:59:34,-45.8742,170.5036,61.81,91,100,3.27
204,Kalmunai,LK,2022-03-28 18:59:34,7.4167,81.8167,79.63,81,5,5.7
205,Neiafu,TO,2022-03-28 18:59:35,-18.65,-173.9833,81.28,89,75,13.8
206,Georgetown,MY,2022-03-28 18:55:23,5.4112,100.3354,83.95,87,40,2.3
207,Manicore,BR,2022-03-28 18:59:35,-5.8092,-61.3003,86.05,69,100,2.95
208,Kropotkin,RU,2022-03-28 18:59:36,45.4375,40.5756,35.49,69,3,16.28
209,Marzuq,YE,2022-03-28 18:59:36,14.4,46.4667,70.27,23,0,7.25
210,Padang,ID,2022-03-28 18:59:36,-0.9492,100.3543,74.98,71,0,4.76
211,Tazovskiy,RU,2022-03-28 18:59:37,67.4667,78.7,17.38,92,100,14.2
212,Khorixas,NA,2022-03-28 18:59:37,-20.3667,14.9667,70.61,54,28,7.14
213,Berekum,GH,2022-03-28 18:59:37,7.4534,-2.584,87.84,32,55,2.95
214,Tahe,CN,2022-03-28 18:59:38,52.3333,124.7333,17.24,80,8,8.08
215,Kamenka,RU,2022-03-28 18:59:38,51.3223,42.7678,33.21,76,100,21.56
216,Esperance,AU,2022-03-28 18:59:39,-33.8667,121.9,62.44,79,98,10.07
217,Tiksi,RU,2022-03-28 18:59:39,71.6872,128.8694,-17.05,100,88,5.26
218,Clyde River,CA,2022-03-28 18:56:05,70.4692,-68.5914,1.63,85,40,20.71
219,Mareeba,AU,2022-03-28 18:59:39,-17.0,145.4333,70.52,96,99,2.26
220,San Carlos De Bariloche,AR,2022-03-28 18:59:40,-41.1456,-71.3082,55.15,58,75,34.52
221,Villa Bruzual,VE,2022-03-28 18:59:40,9.3328,-69.1208,97.75,29,100,4.03
222,Bilma,NE,2022-03-28 18:59:41,18.6853,12.9164,77.32,6,0,5.53
223,Klaksvik,FO,2022-03-28 18:59:41,62.2266,-6.589,34.72,89,100,11.05
224,Deputatskiy,RU,2022-03-28 18:59:42,69.3,139.9,-15.72,96,61,2.53
225,Grottammare,IT,2022-03-28 18:59:42,42.9888,13.8649,53.67,85,56,9.17
226,Rawson,AR,2022-03-28 18:59:42,-43.3002,-65.1023,74.82,24,0,21.68
227,Kununurra,AU,2022-03-28 18:54:56,-15.7667,128.7333,75.18,94,100,3.44
228,Khatanga,RU,2022-03-28 19:00:43,71.9667,102.5,-3.14,98,100,11.77
229,Bonavista,CA,2022-03-28 19:00:43,48.6499,-53.1147,37.99,83,10,3.09
230,Codrington,AU,2022-03-28 19:00:44,-38.2667,141.9667,60.04,70,96,6.46
231,Portland,US,2022-03-28 18:55:53,45.5234,-122.6762,61.47,76,75,6.91
232,Langxiang,CN,2022-03-28 19:00:44,46.95,128.8833,32.99,69,100,7.34
233,Tabou,CI,2022-03-28 19:00:45,4.423,-7.3528,81.41,83,100,3.85
234,Terme,TR,2022-03-28 19:00:45,41.2092,36.9739,42.78,79,3,5.19
235,Turcianske Teplice,SK,2022-03-28 19:00:46,48.8623,18.8605,52.16,70,0,2.3
236,Wloszczowa,PL,2022-03-28 19:00:28,50.8526,19.9659,54.18,58,0,7.76
237,Half Moon Bay,US,2022-03-28 18:58:11,37.4636,-122.4286,63.54,76,0,9.22
238,Marinette,US,2022-03-28 18:59:58,45.1,-87.6307,28.45,37,5,6.02
239,Cidreira,BR,2022-03-28 19:00:46,-30.1811,-50.2056,74.53,61,0,8.61
240,Krasnoselkup,RU,2022-03-28 19:00:47,65.7,82.4667,17.6,93,100,11.74
241,Tocopilla,CL,2022-03-28 19:00:47,-22.092,-70.1979,72.43,68,18,11.07
242,Korsakov,RU,2022-03-28 19:00:48,46.6328,142.7813,26.6,84,12,5.73
243,Cooma,AU,2022-03-28 19:00:48,-36.2333,149.1333,51.53,91,100,4.03
244,San Mateo Del Mar,MX,2022-03-28 19:00:49,16.2,-95.0,86.18,48,72,13.73
245,Thinadhoo,MV,2022-03-28 19:00:49,0.5333,72.9333,81.72,62,5,3.04
246,Khani,GE,2022-03-28 19:00:49,41.9563,42.9566,24.37,91,76,5.06
247,Thompson,CA,2022-03-28 19:00:50,55.7435,-97.8558,22.48,78,97,8.28
248,Ahuimanu,US,2022-03-28 19:00:50,21.4447,-157.8378,78.37,78,50,1.01
249,Alyangula,AU,2022-03-28 19:00:51,-13.8483,136.4192,79.79,79,57,3.78
250,Chuy,UY,2022-03-28 19:00:51,-33.6971,-53.4616,76.69,44,0,8.79
251,Willowmore,ZA,2022-03-28 19:00:51,-33.2926,23.4895,81.91,33,18,21.83
252,Ciawi,ID,2022-03-28 19:00:52,-7.5117,107.9767,67.35,94,100,3.44
253,Vaitape,PF,2022-03-28 19:00:52,-16.5167,-151.75,82.17,72,85,13.8
254,Broken Hill,AU,2022-03-28 19:00:53,-31.95,141.4333,65.25,48,0,10.69
255,Tukrah,LY,2022-03-28 19:00:53,32.5341,20.5791,63.03,37,0,9.37
256,San Quintin,MX,2022-03-28 19:00:53,30.4833,-115.95,63.32,69,100,8.84
257,Tiznit,MA,2022-03-28 19:00:54,29.5833,-9.5,62.67,69,54,4.63
258,Dhidhdhoo,MV,2022-03-28 19:00:54,6.8833,73.1,82.62,72,0,3.04
259,Sawakin,SD,2022-03-28 19:00:55,19.1059,37.3321,74.05,74,31,8.79
260,Halifax,CA,2022-03-28 19:00:32,44.6453,-63.5724,46.49,76,45,13.0
261,Zapolyarnyy,RU,2022-03-28 19:00:55,69.4154,30.8136,22.28,82,100,9.48
262,Springhill,US,2022-03-28 19:00:56,33.006,-93.4668,76.89,67,97,5.97
263,Aksu,CN,2022-03-28 19:00:25,41.1231,80.2644,54.28,33,100,8.48
264,Vao,NC,2022-03-28 19:00:56,-22.6667,167.4833,77.34,68,100,13.8
265,Kamien Pomorski,PL,2022-03-28 19:00:57,53.9685,14.7726,43.16,80,9,16.46
266,Graciano Sanchez,MX,2022-03-28 19:00:57,23.9167,-99.2833,81.55,23,0,7.67
267,Kodinsk,RU,2022-03-28 19:00:58,58.6881,99.1844,-2.06,100,69,0.83
268,Laguna,US,2022-03-28 18:58:57,38.421,-121.4238,58.17,82,100,5.01
269,Chesma,RU,2022-03-28 19:00:58,53.8111,60.6533,25.9,97,100,7.54
270,Lithakia,GR,2022-03-28 19:00:59,37.7167,20.8333,51.17,62,46,13.69
271,Raudeberg,NO,2022-03-28 19:00:59,61.9875,5.1352,38.07,78,90,19.48
272,Apaseo El Alto,MX,2022-03-28 19:01:00,20.45,-100.6167,80.87,13,64,6.91
273,Taksimo,RU,2022-03-28 19:01:00,56.3444,114.8794,7.23,87,82,5.86
274,Grindavik,IS,2022-03-28 19:01:00,63.8424,-22.4338,41.47,75,100,13.8
